session_id,timestamp,focus_score,au1_inner_brow_raise,au2_outer_brow_raise,au4_frown,au6_cheek_raise,au7_eye_squeeze,au9_nose_wrinkle,au10_upper_lip_raise,au12_smile,au14_dimpler,au15_mouth_down,au20_lip_stretcher,au23_lip_compression,au25_mouth_open,au26_jaw_drop,avg_ear,head_yaw,head_pitch,symmetry_score,blink_rate_per_min,eye_closed_sec,is_blink,left_iris_x,left_iris_y,right_iris_x,right_iris_y,gaze_direction_x,gaze_direction_y,gaze_deviation,tension_score,tension_level,tension_sources_brow_furrow,tension_sources_lip_compression,tension_sources_eye_closure,tension_sources_expression_instability,tension_sources_emotional_influence,micro_exp_au_name,micro_exp_intensity,micro_exp_duration_frames,micro_exp_onset_frame,dominant_emotion,confidence,emotion_state,is_valid,au1_inner_brow_raise_trend,au1_inner_brow_raise_volatility,au1_inner_brow_raise_change_rate,au2_outer_brow_raise_trend,au2_outer_brow_raise_volatility,au2_outer_brow_raise_change_rate,au4_frown_trend,au4_frown_volatility,au4_frown_change_rate,au6_cheek_raise_trend,au6_cheek_raise_volatility,au6_cheek_raise_change_rate,au7_eye_squeeze_trend,au7_eye_squeeze_volatility,au7_eye_squeeze_change_rate,au9_nose_wrinkle_trend,au9_nose_wrinkle_volatility,au9_nose_wrinkle_change_rate,au10_upper_lip_raise_trend,au10_upper_lip_raise_volatility,au10_upper_lip_raise_change_rate,au12_smile_trend,au12_smile_volatility,au12_smile_change_rate,au14_dimpler_trend,au14_dimpler_volatility,au14_dimpler_change_rate,au15_mouth_down_trend,au15_mouth_down_volatility,au15_mouth_down_change_rate,au20_lip_stretcher_trend,au20_lip_stretcher_volatility,au20_lip_stretcher_change_rate,au23_lip_compression_trend,au23_lip_compression_volatility,au23_lip_compression_change_rate,au25_mouth_open_trend,au25_mouth_open_volatility,au25_mouth_open_change_rate,au26_jaw_drop_trend,au26_jaw_drop_volatility,au26_jaw_drop_change_rate,avg_ear_trend,avg_ear_volatility,avg_ear_change_rate,head_yaw_trend,head_yaw_volatility,head_yaw_change_rate,head_pitch_trend,head_pitch_volatility,head_pitch_change_rate,symmetry_score_trend,symmetry_score_volatility,symmetry_score_change_rate,blink_rate_per_min_trend,blink_rate_per_min_volatility,blink_rate_per_min_change_rate,eye_closed_sec_trend,eye_closed_sec_volatility,eye_closed_sec_change_rate,is_blink_trend,is_blink_volatility,is_blink_change_rate,left_iris_x_trend,left_iris_x_volatility,left_iris_x_change_rate,left_iris_y_trend,left_iris_y_volatility,left_iris_y_change_rate,right_iris_x_trend,right_iris_x_volatility,right_iris_x_change_rate,right_iris_y_trend,right_iris_y_volatility,right_iris_y_change_rate,gaze_direction_x_trend,gaze_direction_x_volatility,gaze_direction_x_change_rate,gaze_direction_y_trend,gaze_direction_y_volatility,gaze_direction_y_change_rate,gaze_deviation_trend,gaze_deviation_volatility,gaze_deviation_change_rate
20260304_135106,1772603467.4198775,0.3,0.232,0.278,0.012,0.466,0.578,0.499,0.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.422,0.307,-0.999,0.994,0.0,0.0,0,0.524,0.567,0.61,0.569,-0.072,-0.573,0.577,0.083,low,0.015,0.0,0.0,0.53,0.0,,,,,startled_anxiety,1.0,neutral,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.059,0.118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.575,0.003,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717,0.0,0.0,1.0,0.0,0.0,0.0
20260304_135106,1772603467.50843,0.3,0.228,0.284,0.082,0.451,0.555,0.499,0.0,0.0,0.761,0.0,0.0,0.915,0.0,0.0,0.445,0.319,-0.998,0.993,0.0,0.0,0,0.522,0.567,0.61,0.569,-0.096,-0.591,0.599,0.656,high,0.107,1.0,0.0,0.96,0.235,,,,,anxiety,0.588,neutral,1,1.0,0.707,1.0,1.0,0.707,1.0,1.0,1.0,1.0,1.0,0.707,1.0,1.0,0.708,1.0,1.0,0.707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.708,1.0,1.0,0.707,1.0,-1.0,1.0,1.0,-0.353,0.003,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.105,0.002,0.008,-0.023,0.0,0.002,0.029,0.0,0.002,-0.005,0.0,0.0,-1.0,0.113,0.957,-0.913,0.086,1.0,1.0,0.017,0.074
20260304_135106,1772603467.5314374,0.3,0.232,0.284,0.063,0.445,0.543,0.498,0.0,0.0,0.745,0.001,0.0,0.592,0.002,0.0,0.457,0.305,-0.998,0.994,0.0,0.0,0,0.522,0.567,0.611,0.569,-0.077,-0.614,0.619,0.481,medium,0.082,0.769,0.0,0.57,0.182,,,,,startled_anxiety,0.544,neutral,1,1.0,0.577,1.0,1.0,0.577,1.0,1.0,0.873,1.0,1.0,0.578,0.916,1.0,0.578,0.873,1.0,0.577,0.992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.586,1.0,0.044,0.006,0.015,0.0,0.0,0.0,1.0,1.0,1.0,0.055,0.008,0.018,0.0,0.0,0.0,1.0,0.579,1.0,1.0,0.578,0.918,-1.0,1.0,1.0,-0.2,0.003,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066,0.002,0.003,-0.008,0.0,0.0,0.036,0.001,0.003,-0.017,0.0,0.002,-0.414,0.098,0.775,-1.0,0.168,1.0,1.0,0.029,0.117
20260304_135106,1772603467.5534573,0.3,0.234,0.295,0.069,0.447,0.536,0.498,0.0,0.0,0.753,0.001,0.0,0.506,0.014,0.0,0.464,0.3,-0.998,0.994,0.0,0.0,0,0.523,0.567,0.61,0.569,-0.079,-0.614,0.619,0.405,medium,0.09,0.658,0.0,0.4,0.158,,,,,startled_anxiety,0.604,neutral,1,1.0,0.5,0.702,1.0,0.501,0.784,1.0,0.727,1.0,1.0,0.5,0.624,1.0,0.501,0.559,1.0,0.5,0.661,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.508,0.826,0.043,0.007,1.0,0.0,0.0,0.0,1.0,0.884,0.686,0.295,0.054,1.0,0.0,0.0,0.0,1.0,0.502,0.802,1.0,0.501,0.58,-1.0,1.0,1.0,-0.132,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034,0.002,0.0,-0.004,0.0,0.0,0.021,0.001,0.001,-0.006,0.0,0.0,-0.206,0.088,0.79,-1.0,0.184,1.0,1.0,0.031,0.089
20260304_135106,1772603467.5724692,0.3,0.232,0.294,0.067,0.449,0.546,0.498,0.0,0.004,0.738,0.002,0.004,0.787,0.0,0.0,0.454,0.302,-0.998,0.994,0.0,0.0,0,0.523,0.567,0.61,0.569,-0.083,-0.609,0.615,0.542,medium,0.088,1.0,0.0,0.29,0.223,,,,,anxiety,0.557,neutral,1,1.0,0.447,0.508,1.0,0.448,0.578,1.0,0.637,0.972,1.0,0.448,0.484,1.0,0.448,0.466,1.0,0.447,0.497,0.0,0.0,0.0,0.063,0.016,0.044,1.0,0.454,0.56,0.046,0.009,1.0,0.063,0.016,0.044,1.0,0.761,1.0,0.124,0.051,1.0,0.0,0.0,0.0,1.0,0.449,0.542,1.0,0.448,0.455,-1.0,1.0,1.0,-0.087,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,0.001,0.001,0.002,0.0,0.001,0.012,0.001,0.0,-0.004,0.0,0.0,-0.173,0.082,0.83,-0.939,0.179,1.0,0.953,0.03,0.056
20260304_135106,1772603467.6019957,0.3,0.233,0.292,0.068,0.452,0.552,0.498,0.0,0.006,0.739,0.002,0.006,0.715,0.0,0.016,0.448,0.303,-0.998,0.993,0.0,0.0,0,0.523,0.567,0.61,0.569,-0.082,-0.608,0.614,0.51,medium,0.089,0.93,0.0,0.264,0.21,,,,,anxiety,0.525,neutral,1,1.0,0.408,0.415,1.0,0.409,0.439,1.0,0.573,0.795,1.0,0.409,0.4,1.0,0.409,0.4,1.0,0.408,0.396,0.0,0.0,0.0,0.094,0.024,1.0,1.0,0.414,0.448,0.042,0.009,1.0,0.094,0.024,1.0,1.0,0.677,1.0,0.049,0.048,1.0,0.17,0.055,0.158,1.0,0.41,0.4,1.0,0.409,0.369,-1.0,1.0,1.0,-0.069,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016,0.001,0.001,0.004,0.0,0.001,0.007,0.001,0.0,0.0,0.0,0.001,-0.134,0.076,0.821,-0.718,0.171,1.0,0.728,0.029,0.041
20260304_135106,1772603467.6418705,0.3,0.24,0.294,0.057,0.444,0.554,0.498,0.0,0.0,0.762,0.003,0.0,0.755,0.0,0.0,0.446,0.301,-0.998,0.994,0.0,0.0,0,0.523,0.567,0.61,0.57,-0.078,-0.614,0.618,0.525,medium,0.074,0.981,0.0,0.261,0.217,,,,,anxiety,0.543,neutral,1,1.0,0.378,0.409,1.0,0.379,0.384,0.765,0.531,0.193,1.0,0.378,0.296,1.0,0.379,0.343,1.0,0.378,0.33,0.0,0.0,0.0,0.051,0.023,1.0,1.0,0.384,0.446,0.042,0.01,1.0,0.051,0.023,1.0,1.0,0.616,1.0,0.014,0.045,1.0,0.094,0.052,1.0,1.0,0.379,0.321,1.0,0.379,0.297,-1.0,1.0,1.0,-0.054,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012,0.001,0.0,0.0,0.0,0.001,0.009,0.001,0.002,0.003,0.0,0.001,-0.074,0.071,0.783,-0.612,0.168,1.0,0.615,0.028,0.052
20260304_135106,1772603467.6789055,0.3,0.231,0.287,0.058,0.444,0.552,0.497,0.0,0.009,0.755,0.004,0.009,0.811,0.0,0.0,0.448,0.303,-0.999,0.994,0.0,0.0,0,0.522,0.567,0.61,0.57,-0.081,-0.613,0.619,0.543,medium,0.076,1.0,0.0,0.263,0.227,,,,,anxiety,0.567,neutral,1,1.0,0.354,0.263,1.0,0.354,0.268,0.574,0.495,0.218,1.0,0.354,0.251,1.0,0.354,0.288,1.0,0.354,0.282,0.0,0.0,0.0,0.09,0.033,1.0,1.0,0.359,0.358,0.047,0.013,1.0,0.09,0.033,1.0,1.0,0.57,1.0,-0.003,0.043,1.0,0.053,0.05,1.0,1.0,0.355,0.283,1.0,0.354,0.265,-1.0,1.0,1.0,-0.038,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011,0.001,0.002,0.001,0.0,0.0,0.008,0.001,0.001,0.006,0.0,0.002,-0.062,0.067,0.813,-0.521,0.165,1.0,0.524,0.027,0.046
20260304_135106,1772603467.6999252,0.3,0.232,0.285,0.064,0.446,0.554,0.498,0.0,0.013,0.748,0.005,0.013,0.662,0.0,0.009,0.446,0.304,-0.998,0.994,0.0,0.0,0,0.522,0.567,0.611,0.57,-0.082,-0.61,0.615,0.486,medium,0.083,0.861,0.0,0.266,0.199,,,,,startled_anxiety,0.502,neutral,1,1.0,0.334,0.244,1.0,0.334,0.22,0.478,0.464,0.418,1.0,0.334,0.23,1.0,0.334,0.257,1.0,0.333,0.248,0.0,0.0,0.0,0.127,0.046,1.0,1.0,0.338,0.293,0.051,0.015,1.0,0.127,0.046,1.0,1.0,0.534,0.346,-0.012,0.041,1.0,0.075,0.051,1.0,1.0,0.334,0.242,1.0,0.334,0.244,-1.0,1.0,1.0,-0.029,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.001,0.001,0.002,0.0,0.001,0.009,0.001,0.002,0.008,0.001,0.002,-0.056,0.064,0.821,-0.426,0.158,1.0,0.429,0.026,0.029
20260304_135106,1772603467.732115,0.3,0.225,0.279,0.042,0.449,0.555,0.497,0.0,0.015,0.725,0.006,0.015,0.0,0.0,0.061,0.445,0.3,-0.999,0.994,0.0,0.0,0,0.522,0.567,0.61,0.569,-0.077,-0.606,0.611,0.07,low,0.055,0.0,0.0,0.292,0.0,,,,,startled_anxiety,1.0,neutral,1,1.0,0.317,0.149,1.0,0.317,0.149,0.304,0.457,0.441,1.0,0.317,0.22,1.0,0.317,0.236,1.0,0.316,0.218,0.0,0.0,0.0,0.148,0.055,1.0,1.0,0.321,0.189,0.058,0.019,1.0,0.148,0.055,1.0,1.0,0.644,1.0,-0.016,0.04,1.0,0.323,0.176,1.0,1.0,0.317,0.206,1.0,0.317,0.184,-1.0,1.0,1.0,-0.022,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.001,0.002,0.002,0.0,0.001,0.008,0.001,0.001,0.006,0.001,0.0,-0.026,0.062,0.767,-0.338,0.151,1.0,0.337,0.025,0.012
