video_id,duration_sec,duration_source,n_face_frames,n_gesture_frames,face_detection_rate,too_short_for_rate
vid_0458,50.000,frames/fps,500,500,1.0000,0
vid_0459,30.800,frames/fps,308,308,1.0000,0
vid_0460,60.500,frames/fps,605,605,1.0000,0
vid_0461,32.867,frames/fps,329,329,1.0000,0
vid_0462,49.367,frames/fps,494,494,1.0000,0
vid_0463,55.800,frames/fps,555,558,1.0000,0
vid_0464,20.700,frames/fps,207,207,1.0000,0
vid_0465,20.300,frames/fps,203,203,1.0000,0
vid_0466,11.333,frames/fps,114,114,1.0000,0
vid_0467,9.167,frames/fps,92,92,1.0000,0
vid_0468,30.467,frames/fps,304,305,1.0000,0
vid_0469,59.300,frames/fps,593,593,1.0000,0
vid_0470,5.133,frames/fps,52,52,1.0000,0
vid_0471,48.800,frames/fps,488,488,1.0000,0
vid_0472,3.900,frames/fps,39,39,1.0000,0
vid_0473,20.233,frames/fps,203,203,1.0000,0
vid_0474,29.967,frames/fps,300,300,1.0000,0
vid_0475,7.000,frames/fps,70,70,1.0000,0
vid_0476,27.100,frames/fps,1,271,1.0000,0
vid_0477,19.000,frames/fps,190,190,1.0000,0
vid_0478,19.767,frames/fps,198,198,1.0000,0
vid_0479,8.200,frames/fps,82,82,1.0000,0
vid_0480,40.767,frames/fps,408,408,1.0000,0
vid_0481,3.867,frames/fps,39,39,1.0000,0
vid_0482,24.533,frames/fps,246,246,1.0000,0
vid_0483,16.900,frames/fps,169,169,1.0000,0
vid_0484,24.933,frames/fps,250,250,1.0000,0
vid_0485,30.900,frames/fps,309,309,1.0000,0
vid_0486,29.100,frames/fps,286,291,1.0000,0
vid_0487,14.400,frames/fps,144,144,1.0000,0
vid_0488,22.933,frames/fps,230,230,1.0000,0
vid_0489,23.900,frames/fps,239,239,1.0000,0
vid_0490,45.367,frames/fps,454,454,1.0000,0
vid_0491,10.500,frames/fps,105,105,1.0000,0
vid_0492,36.333,frames/fps,364,364,1.0000,0
vid_0493,41.267,frames/fps,413,413,1.0000,0
vid_0494,22.433,frames/fps,225,225,1.0000,0
vid_0495,31.633,frames/fps,317,317,1.0000,0
vid_0496,12.800,frames/fps,128,128,1.0000,0
vid_0497,26.100,frames/fps,261,261,1.0000,0
vid_0498,30.300,frames/fps,303,303,1.0000,0
vid_0499,41.400,frames/fps,414,414,1.0000,0
vid_0500,20.700,frames/fps,207,207,1.0000,0
vid_0501,11.700,frames/fps,117,117,1.0000,0
vid_0502,31.367,frames/fps,314,314,1.0000,0
vid_0503,15.133,frames/fps,152,152,1.0000,0
vid_0504,19.700,frames/fps,197,197,1.0000,0
vid_0505,37.900,frames/fps,379,379,1.0000,0
vid_0506,14.633,frames/fps,147,147,1.0000,0
vid_0507,23.600,frames/fps,236,236,1.0000,0
vid_0508,37.267,frames/fps,373,373,1.0000,0
vid_0509,30.567,frames/fps,306,306,1.0000,0
vid_0510,17.600,frames/fps,176,176,1.0000,0
vid_0511,41.400,frames/fps,414,414,1.0000,0
vid_0512,51.500,frames/fps,515,515,1.0000,0
vid_0513,39.567,frames/fps,396,396,1.0000,0
vid_0514,44.967,frames/fps,450,450,1.0000,0
vid_0515,26.100,frames/fps,261,261,1.0000,0
vid_0516,25.200,frames/fps,252,252,1.0000,0
vid_0517,44.267,frames/fps,443,443,1.0000,0
vid_0518,56.867,frames/fps,569,569,1.0000,0
vid_0519,55.100,frames/fps,551,551,1.0000,0
vid_0520,23.933,frames/fps,204,240,1.0000,0
vid_0521,24.400,frames/fps,244,244,1.0000,0
vid_0522,8.167,frames/fps,82,82,1.0000,0
vid_0523,42.867,frames/fps,429,429,1.0000,0
vid_0524,43.300,frames/fps,433,433,1.0000,0
vid_0525,50.600,frames/fps,506,506,1.0000,0
vid_0526,9.200,frames/fps,92,92,1.0000,0
vid_0527,30.167,frames/fps,302,302,1.0000,0
vid_0528,20.833,frames/fps,209,209,1.0000,0
vid_0529,29.367,frames/fps,294,294,1.0000,0
vid_0530,41.833,frames/fps,419,419,1.0000,0
vid_0531,45.967,frames/fps,460,460,1.0000,0
vid_0532,14.433,frames/fps,145,145,1.0000,0
vid_0533,20.767,frames/fps,208,208,1.0000,0
vid_0534,11.467,frames/fps,115,115,1.0000,0
vid_0535,2.467,frames/fps,25,25,1.0000,0
vid_0536,54.733,frames/fps,548,548,1.0000,0
vid_0537,58.400,frames/fps,584,584,1.0000,0
vid_0538,42.533,frames/fps,426,426,1.0000,0
vid_0539,38.033,frames/fps,381,381,1.0000,0
vid_0540,40.167,frames/fps,402,402,1.0000,0
vid_0541,33.233,frames/fps,333,333,1.0000,0
vid_0542,37.100,frames/fps,259,371,1.0000,0
vid_0543,32.067,frames/fps,321,321,1.0000,0
vid_0544,46.400,frames/fps,464,464,1.0000,0
vid_0545,22.300,frames/fps,223,223,1.0000,0
vid_0546,16.933,frames/fps,170,170,1.0000,0
vid_0547,16.700,frames/fps,167,167,1.0000,0
vid_0548,21.200,frames/fps,212,212,1.0000,0
vid_0549,48.033,frames/fps,481,481,1.0000,0
vid_0550,15.533,frames/fps,156,156,1.0000,0
vid_0551,46.100,frames/fps,461,461,1.0000,0
vid_0552,8.800,frames/fps,88,88,1.0000,0
vid_0553,6.300,frames/fps,63,63,1.0000,0
vid_0554,19.433,frames/fps,195,195,1.0000,0
vid_0555,32.067,frames/fps,321,321,1.0000,0
vid_0556,4.300,frames/fps,43,43,1.0000,0
vid_0557,17.267,frames/fps,173,173,1.0000,0
vid_0558,24.933,frames/fps,250,250,1.0000,0
vid_0559,24.533,frames/fps,246,246,1.0000,0
vid_0560,7.133,frames/fps,72,72,1.0000,0
vid_0561,22.133,frames/fps,222,222,1.0000,0
vid_0562,10.000,frames/fps,100,100,1.0000,0
vid_0563,14.200,frames/fps,142,142,1.0000,0
vid_0564,27.133,frames/fps,272,272,1.0000,0
vid_0565,5.600,frames/fps,56,56,1.0000,0
vid_0566,16.800,frames/fps,168,168,1.0000,0
vid_0567,4.100,frames/fps,41,41,1.0000,0
vid_0568,34.667,frames/fps,347,347,1.0000,0
vid_0569,17.933,frames/fps,180,180,1.0000,0
vid_0570,6.533,frames/fps,66,66,1.0000,0
vid_0571,5.400,frames/fps,54,54,1.0000,0
vid_0572,48.667,frames/fps,487,487,1.0000,0
vid_0573,2.633,frames/fps,27,27,1.0000,0
vid_0574,49.533,frames/fps,496,496,1.0000,0
vid_0575,11.067,frames/fps,111,111,1.0000,0
vid_0576,15.500,frames/fps,155,155,1.0000,0
vid_0577,4.167,frames/fps,42,42,1.0000,0
vid_0578,33.100,frames/fps,331,331,1.0000,0
vid_0579,35.833,frames/fps,359,359,1.0000,0
vid_0580,20.800,frames/fps,208,208,1.0000,0
vid_0581,47.000,frames/fps,470,470,1.0000,0
vid_0582,6.667,frames/fps,67,67,1.0000,0
vid_0583,28.567,frames/fps,286,286,1.0000,0
vid_0584,39.133,frames/fps,392,392,1.0000,0
vid_0585,16.800,frames/fps,168,168,1.0000,0
vid_0586,31.833,frames/fps,319,319,1.0000,0
vid_0587,61.000,frames/fps,610,610,1.0000,0
vid_0588,52.000,frames/fps,520,520,1.0000,0
vid_0589,12.533,frames/fps,126,126,1.0000,0
vid_0590,40.433,frames/fps,405,405,1.0000,0
vid_0591,8.733,frames/fps,88,88,1.0000,0
vid_0592,52.467,frames/fps,525,525,1.0000,0
vid_0593,44.267,frames/fps,443,443,1.0000,0
vid_0594,17.700,frames/fps,177,177,1.0000,0
vid_0595,18.967,frames/fps,190,190,1.0000,0
vid_0596,9.467,frames/fps,95,95,1.0000,0
vid_0597,12.733,frames/fps,128,128,1.0000,0
vid_0598,26.067,frames/fps,261,261,1.0000,0
vid_0599,29.033,frames/fps,291,291,1.0000,0
vid_0600,5.733,frames/fps,58,58,1.0000,0
vid_0601,12.600,frames/fps,126,126,1.0000,0
vid_0602,13.467,frames/fps,135,135,1.0000,0
vid_0603,6.800,frames/fps,68,68,1.0000,0
vid_0604,30.900,frames/fps,309,309,1.0000,0
vid_0605,3.600,frames/fps,36,36,1.0000,0
vid_0606,37.667,frames/fps,377,377,1.0000,0
vid_0607,15.500,frames/fps,155,155,1.0000,0
vid_0608,15.333,frames/fps,154,154,1.0000,0
vid_0609,21.067,frames/fps,211,211,1.0000,0
vid_0610,6.267,frames/fps,63,63,1.0000,0
vid_0611,24.167,frames/fps,242,242,1.0000,0
vid_0612,14.567,frames/fps,146,146,1.0000,0
vid_0613,16.767,frames/fps,168,168,1.0000,0
vid_0614,30.067,frames/fps,301,301,1.0000,0
vid_0615,23.733,frames/fps,238,238,1.0000,0
vid_0616,56.767,frames/fps,568,568,1.0000,0
vid_0617,17.133,frames/fps,172,172,1.0000,0
vid_0618,32.100,frames/fps,321,321,1.0000,0
vid_0619,8.300,frames/fps,83,83,1.0000,0
vid_0620,55.800,frames/fps,558,558,1.0000,0
vid_0621,33.033,frames/fps,331,331,1.0000,0
vid_0622,54.033,frames/fps,541,541,1.0000,0
vid_0623,9.500,frames/fps,95,95,1.0000,0
vid_0624,29.700,frames/fps,297,297,1.0000,0
vid_0625,60.533,frames/fps,606,606,1.0000,0
vid_0626,21.667,frames/fps,217,217,1.0000,0
vid_0627,19.200,frames/fps,192,192,1.0000,0
vid_0628,20.033,frames/fps,201,201,1.0000,0
vid_0629,46.800,frames/fps,468,468,1.0000,0
vid_0630,60.633,frames/fps,607,607,1.0000,0
vid_0631,16.767,frames/fps,168,168,1.0000,0
vid_0632,15.700,frames/fps,157,157,1.0000,0
vid_0633,21.067,frames/fps,211,211,1.0000,0
vid_0634,43.333,frames/fps,434,434,1.0000,0
vid_0635,14.700,frames/fps,147,147,1.0000,0
vid_0636,13.033,frames/fps,131,131,1.0000,0
vid_0637,5.500,frames/fps,55,55,1.0000,0
vid_0638,25.300,frames/fps,253,253,1.0000,0
vid_0639,6.433,frames/fps,65,65,1.0000,0
vid_0640,53.767,frames/fps,538,538,1.0000,0
vid_0641,18.400,frames/fps,184,184,1.0000,0
vid_0642,21.933,frames/fps,220,220,1.0000,0
vid_0643,11.233,frames/fps,113,113,1.0000,0
vid_0644,21.533,frames/fps,216,216,1.0000,0
vid_0645,16.067,frames/fps,158,161,1.0000,0
vid_0646,42.500,frames/fps,425,425,1.0000,0
vid_0647,24.867,frames/fps,249,249,1.0000,0
vid_0648,7.000,frames/fps,70,70,1.0000,0
vid_0649,60.533,frames/fps,606,606,1.0000,0
vid_0650,53.667,frames/fps,537,537,1.0000,0
vid_0651,56.567,frames/fps,566,566,1.0000,0
vid_0652,33.333,frames/fps,334,334,1.0000,0
vid_0653,60.533,frames/fps,606,606,1.0000,0
vid_0654,27.867,frames/fps,279,279,1.0000,0
vid_0655,30.167,frames/fps,302,302,1.0000,0
vid_0656,59.733,frames/fps,598,598,1.0000,0
vid_0657,33.333,frames/fps,334,334,1.0000,0
vid_0658,17.933,frames/fps,180,180,1.0000,0
vid_0659,57.300,frames/fps,573,573,1.0000,0
vid_0660,45.500,frames/fps,455,455,1.0000,0
vid_0661,60.533,frames/fps,604,606,1.0000,0
vid_0662,11.333,frames/fps,114,114,1.0000,0
vid_0663,22.633,frames/fps,227,227,1.0000,0
vid_0664,0.633,frames/fps,7,7,1.0000,1
vid_0665,59.433,frames/fps,595,595,1.0000,0
vid_0666,14.700,frames/fps,147,147,1.0000,0
vid_0667,23.567,frames/fps,236,236,1.0000,0
vid_0668,54.133,frames/fps,542,542,1.0000,0
vid_0669,34.967,frames/fps,350,350,1.0000,0
vid_0670,33.000,frames/fps,330,330,1.0000,0
vid_0671,45.667,frames/fps,457,457,1.0000,0
vid_0672,22.933,frames/fps,230,230,1.0000,0
vid_0673,14.033,frames/fps,141,141,1.0000,0
vid_0674,51.133,frames/fps,512,512,1.0000,0
vid_0675,16.133,frames/fps,162,162,1.0000,0
vid_0676,33.767,frames/fps,338,338,1.0000,0
vid_0677,23.567,frames/fps,236,236,1.0000,0
vid_0678,48.500,frames/fps,485,485,1.0000,0
vid_0679,13.767,frames/fps,138,138,1.0000,0
vid_0680,20.267,frames/fps,203,203,1.0000,0
vid_0681,24.367,frames/fps,244,244,1.0000,0
vid_0682,57.767,frames/fps,578,578,1.0000,0
vid_0683,21.367,frames/fps,214,214,1.0000,0
vid_0684,60.533,frames/fps,606,606,1.0000,0
vid_0685,34.000,frames/fps,340,340,1.0000,0
vid_0686,10.067,frames/fps,101,101,1.0000,0
vid_0687,15.467,frames/fps,155,155,1.0000,0
vid_0688,15.900,frames/fps,159,159,1.0000,0
vid_0689,22.300,frames/fps,223,223,1.0000,0
vid_0690,22.967,frames/fps,230,230,1.0000,0
vid_0691,53.233,frames/fps,533,533,1.0000,0
vid_0692,60.500,frames/fps,596,605,1.0000,0
vid_0693,42.900,frames/fps,429,429,1.0000,0
vid_0694,31.367,frames/fps,314,314,1.0000,0
vid_0695,10.333,frames/fps,104,104,1.0000,0
vid_0696,28.500,frames/fps,285,285,1.0000,0
vid_0697,8.967,frames/fps,90,90,1.0000,0
vid_0698,12.400,frames/fps,124,124,1.0000,0
vid_0699,6.600,frames/fps,66,66,1.0000,0
vid_0700,7.300,frames/fps,73,73,1.0000,0
vid_0701,15.933,frames/fps,160,160,1.0000,0
vid_0702,16.400,frames/fps,164,164,1.0000,0
vid_0703,20.800,frames/fps,208,208,1.0000,0
